"feature","standardized_null_value"
"Mean
expression",-1.48832956641738
"Mean
expression",-0.60413900744924
"Mean
expression",-0.635818555284287
"Mean
expression",-0.998117848293547
"Mean
expression",0.519531708762096
"Mean
expression",2.74048218758379
"Mean
expression",-0.205781529707521
"Mean
expression",1.00047164249117
"Mean
expression",0.89680367309504
"Mean
expression",1.97150569070059
"Mean
expression",2.24305263228867
"Mean
expression",0.909783152639156
"Mean
expression",-0.496902382516559
"Mean
expression",0.317650640378014
"Mean
expression",-0.0463420710794273
"Mean
expression",-0.0972050081677691
"Mean
expression",-1.21113690514322
"Mean
expression",1.02113195331833
"Mean
expression",0.389282128554891
"Mean
expression",-1.02951197545688
"Mean
expression",-1.06973948038589
"Mean
expression",0.837829269642477
"Mean
expression",0.0150560105025989
"Mean
expression",-0.434906362759508
"Mean
expression",0.22889161483307
"Mean
expression",0.00313005913384808
"Mean
expression",0.888756998757317
"Mean
expression",-0.187914722798541
"Mean
expression",-0.237256741670765
"Mean
expression",-1.00274530846432
"Mean
expression",-0.339044897745513
"Mean
expression",-0.623454591561302
"Mean
expression",0.311756228635376
"Mean
expression",-0.807307862851006
"Mean
expression",-1.6645206698658
"Mean
expression",1.28730148820686
"Mean
expression",0.296408065180078
"Mean
expression",-0.679846077496069
"Mean
expression",-0.150800753725922
"Mean
expression",-0.426886428378744
"Mean
expression",-1.40537086218314
"Mean
expression",-0.390701771112533
"Mean
expression",-0.0691996697643083
"Mean
expression",-1.52686708625521
"Mean
expression",0.485533593705337
"Mean
expression",-0.171931652439709
"Mean
expression",-1.86223070864667
"Mean
expression",-0.241876346232242
"Mean
expression",-0.274258798404801
"Mean
expression",0.479121871163897
"Mean
expression",1.24177525157056
"Mean
expression",-1.03724077190073
"Mean
expression",-0.734419873059015
"Mean
expression",1.23350178053348
"Mean
expression",2.25886647633439
"Mean
expression",2.35715973255793
"Mean
expression",1.77953729935773
"Mean
expression",1.86995303498122
"Mean
expression",1.61324480361433
"Mean
expression",-0.265478569417323
"Mean
expression",-0.209269250652697
"Mean
expression",-0.282615128322985
"Mean
expression",1.06259082092004
"Mean
expression",1.00127383236369
"Mean
expression",0.18017820489375
"Mean
expression",-0.380262702736512
"Mean
expression",0.34720351822332
"Mean
expression",0.665811552193097
"Mean
expression",0.226084847222236
"Mean
expression",0.457191420156719
"Mean
expression",1.01029888731715
"Mean
expression",1.26588222704826
"Mean
expression",-1.32945034011304
"Mean
expression",0.928305981500326
"Mean
expression",0.631438531899536
"Mean
expression",1.25476437170617
"Mean
expression",-1.17006114856917
"Mean
expression",0.797847532959887
"Mean
expression",-1.21728370881516
"Mean
expression",1.79157587016063
"Mean
expression",-0.0742976617394972
"Mean
expression",0.583174697899242
"Mean
expression",0.838850936738537
"Mean
expression",0.226429786504354
"Mean
expression",1.44052121100778
"Mean
expression",0.647167434084674
"Mean
expression",-1.40650927898004
